time_step,weight_0,weight_1,weight_2,weight_3,weight_4,weight_5,weight_6,weight_7,weight_8,weight_9,weight_10
0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.9995614631386189,0.00043848876955441353,4.808918971680321e-08,2.6369776629353557e-12,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.9982471504248402,0.001752224768926582,6.246955375036293e-07,1.1069061502978316e-10,5.202902467645675e-15,0.0,0.0,0.0,0.0,0.0
3,0.0,0.9960609502011027,0.003936024972540333,3.0236755635809544e-06,1.1506091808295458e-09,1.8427865808126211e-13,0.0,0.0,0.0,0.0,0.0
4,0.0,0.9930093255007149,0.006981277305814139,9.390943883052244e-06,6.24755316222275e-09,2.0342820293586094e-12,0.0,0.0,0.0,0.0,0.0
5,0.0,0.9891012878282491,0.010875979958800838,2.270877300965588e-05,2.3427271620399352e-08,1.2665871812274777e-11,2.3024921655198413e-15,0.0,0.0,0.0,0.0
6,0.0,0.9843483606246942,0.015604796149187083,4.6773951008049404e-05,6.921940559226944e-08,5.5680392830054137e-11,2.4229325120179712e-14,0.0,0.0,0.0,0.0
7,0.0,0.9787645325889107,0.021149124060321097,8.616993391293357e-05,1.7322327790214556e-07,1.9344288293419442e-10,1.33954619321489e-13,0.0,0.0,0.0,0.0
8,0.0,0.9723662010744346,0.02748718160406906,0.0001462331675203934,3.83586629240027e-07,5.668007087556419e-10,5.454426086507371e-13,0.0,0.0,0.0,0.0
9,0.0,0.9651721058270631,0.03459410558429435,0.00023301378977933287,7.733375736133012e-07,1.4594591490002771e-09,1.8289027740378112e-12,0.0,0.0,0.0,0.0
10,0.0,0.9572032533736886,0.04244206476500535,0.00035323096034900524,1.4475003290539907e-06,3.395297432721645e-09,5.32751654681002e-12,1.1652021845774736e-15,0.0,0.0,0.0
11,0.0,0.9484828324162871,0.05100038627810404,0.0005142230977250925,2.550916121871281e-06,7.277833586459878e-09,1.3917377835685445e-11,8.234627076094282e-15,0.0,0.0,0.0
12,0.0,0.9390361206266211,0.06023569473956591,0.0007238933364642348,4.276682141440274e-06,1.4581856991121857e-08,3.3314461302672025e-11,3.3103451154312915e-14,0.0,0.0,0.0
13,0.0,0.9288903832768272,0.07011206338012098,0.0009906505472643161,6.875113599975537e-06,2.7607892278561174e-08,7.418873923687791e-11,1.0393407157487472e-13,0.0,0.0,0.0
14,0.0,0.9180747641784849,0.08059117643743414,0.0013233462907967506,1.0663126904803278e-05,4.9810646201665854e-08,1.5545019298319918e-10,2.803735849884214e-13,0.0,0.0,0.0
15,0.0,0.9066201694377618,0.09163250200170732,0.0017312081020661953,1.603393572046405e-05,8.621290142780047e-08,3.091579621543561e-10,6.818317063112349e-13,0.0,0.0,0.0
16,0.0,0.8945591445666606,0.10319347445582454,0.002223769525538575,2.346694636122043e-05,1.439164472157976e-07,5.876280685292216e-10,1.5351672486244784e-12,0.0,0.0,0.0
17,0.0,0.8819257455200912,0.11522968560491287,0.002810797342182892,3.3537734539479643e-05,2.3272157379816513e-07,1.073441860794375e-09,3.252377511069761e-12,6.813519586402757e-16,0.0,0.0
18,0.0,0.8687554042552754,0.12769508354872178,0.003502216447789732,4.692798205286314e-05,3.6586639707655715e-07,1.89320369614964e-09,6.550241777173896e-12,4.506277969378396e-15,0.0,0.0
19,0.0,0.8550847894338142,0.14054217831375504,0.00430803285735178,6.443524955083055e-05,5.608968177120923e-07,3.2360532313710133e-09,1.2636188264134865e-11,1.61705801814944e-14,0.0,0.0
20,0.0,0.8409516629073676,0.15372225323080485,0.005238255322819104,8.698246010995922e-05,8.406772594434283e-07,5.378104088915847e-09,2.348559502398566e-11,4.4201792099411345e-14,0.0,0.0
21,0.0,0.8263947326453436,0.1671855810175895,0.006302816061099279,0.00011562696798399372,1.2345514658923473e-06,8.714163625608313e-09,4.224400301308688e-11,1.0433255710456001e-13,0.0,0.0
22,0.0,0.8114535027771113,0.18088164350571334,0.007511491095707339,0.00015156908758634586,1.7796615755857808e-06,1.3798275030490632e-08,7.380063240155285e-11,2.24493503234475e-13,0.0,0.0
23,0.0,0.7961681214319809,0.19475935393625796,0.00887382071893324,0.0001961599595190187,2.5224324419619012e-06,2.1394817267710234e-08,1.2559166255088543e-10,4.520462676004143e-13,0.0,0.0
24,0.0,0.7805792270675375,0.20876728073901935,0.010399030581769834,0.00025090863327247693,3.5202267258587754e-06,3.254209688016888e-08,2.0870629535343632e-10,8.649700654769813e-13,0.0,0.0
25,0.0,0.764727793980784,0.2228538717067947,0.012095953916126632,0.0003174882500773563,4.843174670743387e-06,4.8630565923203e-08,3.393840265549745e-10,1.5888647115764028e-12,0.0,0.0
26,0.0,0.7486549776969704,0.23696767747816627,0.013972955388061226,0.0003977412142676042,6.5761806923196496e-06,7.149799724232691e-08,5.410144990827671e-10,2.821642140951748e-12,7.654991810576996e-16,0.0
27,0.0,0.7241630161733414,0.2581545848990126,0.017124583147886695,0.0005475100657869877,1.018079373759411e-05,1.2386185760441114e-07,1.0520588263284843e-09,6.301908684022005e-12,7.723853366982692e-15,0.0
28,0.0,0.7077200905177142,0.27211190425750453,0.019483488089236122,0.0006709127416281459,1.3427220905469842e-05,1.7555626795486334e-07,1.6062590710507839e-09,1.0455334111369428e-11,2.0764852991733153e-14,0.0
29,0.0,0.6911991044804581,0.28592027430134836,0.022047049496951642,0.0008157931882233162,1.7530298872594188e-05,2.458017648818579e-07,2.4153149951917165e-09,1.7010117699895008e-11,4.7168739292308176e-14,0.0
30,0.0,0.6746401400502775,0.2995314118450797,0.02482064761816617,0.0009847858317678735,2.2670840378148687e-05,3.402064483702522e-07,3.580600109358504e-09,2.7176958405287447e-11,9.636091565710533e-14,0.0
31,0.0,0.6580826382575358,0.3128983062152127,0.027808825550543065,0.0011807004147933874,2.905850830954848e-05,4.6577272824206906e-07,5.237987783756853e-09,4.269714727934507e-11,1.8316820960246938e-13,0.0
32,0.0,0.6333749106590015,0.33231665880714034,0.032731575997337364,0.0015346511078539755,4.145788903369421e-05,7.36446879063847e-07,9.00933925630622e-09,8.297485680228091e-11,4.298096640213774e-13,0.0
33,0.0,0.616984357565047,0.3448797931474753,0.03627105450872156,0.0018117110890902965,5.208780727828613e-05,9.829565543755245e-07,1.279990131891234e-08,1.251850472680958e-10,7.358953543403743e-13,0.0
34,0.0,0.6007262641886691,0.3570469305052661,0.04003364029932502,0.0021268757487650537,6.497055176246193e-05,1.3005260639810838e-06,1.7992327023521273e-08,1.8658619030164665e-10,1.2235615984629195e-12,0.0
35,0.0,0.584635549071515,0.3687790438253463,0.04401951339780952,0.002483676706598878,8.048524599021488e-05,1.7064387730747653e-06,2.5037065652423196e-08,2.7490302461158084e-10,1.9854360282852098e-12,2.454393185468088e-16
36,0.0,0.5687457923186543,0.3800393292377522,0.04822778343530544,0.0028857806876256887,9.905798551757808e-05,2.2214228511824784e-06,3.450853367545802e-08,4.0059092364231087e-10,3.154351319057082e-12,1.5649438422940458e-15
37,0.0,0.5530891293424653,0.39079334462742227,0.05265646595545434,0.003336976841877859,0.0001211653300018726,2.8701864499266565e-06,4.713371715941549e-08,5.776731357669698e-10,4.919239091520487e-12,5.663763634720129e-15
38,0.0,0.5376961520788153,0.40100913597742205,0.057302465050937265,0.003841162429729633,0.00014733779353586895,3.682011068904007e-06,6.382611909466213e-08,8.247976422384923e-10,7.545780672715867e-12,1.5125045993959938e-14
39,0.0,0.5225958180505524,0.41065735095557304,0.06216156247160695,0.004402326909104915,0.00017816330326665664,4.691406072010088e-06,8.572581029918523e-08,1.1665612057365878e-09,1.140547140245145e-11,3.3450828464475723e-14
40,0.0,0.5078153676125207,0.41971133928250615,0.06722841331079586,0.005024534474049608,0.0002142905943954164,5.938827071695879e-06,1.1424641177602087e-07,1.6351565965047952e-09,1.701187092763036e-11,6.590386701452333e-14
